"date_set","si"
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",12
"Jan 9 - Jan 22",14
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",14
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",-2
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",17
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",17
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",14
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",21
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",20
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",16
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",20
"Jan 9 - Jan 22",-1
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",14
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",17
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",12
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",21
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",24
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",5
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",14
"Jan 9 - Jan 22",16
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",16
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",13
"Jan 9 - Jan 22",1
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",10
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",15
"Jan 9 - Jan 22",12
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",17
"Jan 9 - Jan 22",16
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",8
"Jan 9 - Jan 22",0
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",3
"Jan 9 - Jan 22",6
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",9
"Jan 9 - Jan 22",4
"Jan 9 - Jan 22",11
"Jan 9 - Jan 22",7
"Jan 9 - Jan 22",16
"Jan 9 - Jan 22",2
"Jan 9 - Jan 22",3
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",13
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",15
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",-2
"Jan 23 - Jan 29",22
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",-1
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",-3
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",14
"Jan 23 - Jan 29",15
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",13
"Jan 23 - Jan 29",-1
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",16
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",-5
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",13
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",17
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",16
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",12
"Jan 23 - Jan 29",14
"Jan 23 - Jan 29",12
"Jan 23 - Jan 29",21
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",16
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",-3
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",12
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",19
"Jan 23 - Jan 29",-3
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",-1
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",-1
"Jan 23 - Jan 29",-4
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",12
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",22
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",-3
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",13
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",13
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",14
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",15
"Jan 23 - Jan 29",12
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",19
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",-4
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",-2
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",15
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",15
"Jan 23 - Jan 29",14
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",-3
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",-1
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",-1
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",-1
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",-5
"Jan 23 - Jan 29",-6
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",-1
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",13
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",11
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",-6
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",12
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",15
"Jan 23 - Jan 29",0
"Jan 23 - Jan 29",12
"Jan 23 - Jan 29",12
"Jan 23 - Jan 29",13
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",15
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",3
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",10
"Jan 23 - Jan 29",6
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",17
"Jan 23 - Jan 29",16
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",-4
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",14
"Jan 23 - Jan 29",8
"Jan 23 - Jan 29",2
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",-2
"Jan 23 - Jan 29",5
"Jan 23 - Jan 29",1
"Jan 23 - Jan 29",4
"Jan 23 - Jan 29",7
"Jan 23 - Jan 29",-4
"Jan 23 - Jan 29",9
"Jan 23 - Jan 29",-2
"Jan 23 - Jan 29",-2
"Jan 23 - Jan 29",10
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",10
"Jan 30 - Feb 13",23
"Jan 30 - Feb 13",7
"Jan 30 - Feb 13",6
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",7
"Jan 30 - Feb 13",4
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",-4
"Jan 30 - Feb 13",7
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",4
"Jan 30 - Feb 13",-4
"Jan 30 - Feb 13",8
"Jan 30 - Feb 13",4
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",6
"Jan 30 - Feb 13",-1
"Jan 30 - Feb 13",-1
"Jan 30 - Feb 13",6
"Jan 30 - Feb 13",5
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",7
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",7
"Jan 30 - Feb 13",-4
"Jan 30 - Feb 13",-6
"Jan 30 - Feb 13",7
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",5
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",4
"Jan 30 - Feb 13",10
"Jan 30 - Feb 13",5
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",12
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",5
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",-11
"Jan 30 - Feb 13",6
"Jan 30 - Feb 13",8
"Jan 30 - Feb 13",-8
"Jan 30 - Feb 13",-2
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",8
"Jan 30 - Feb 13",-3
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",-2
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",11
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",-2
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",7
"Jan 30 - Feb 13",7
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",5
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",5
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",5
"Jan 30 - Feb 13",8
"Jan 30 - Feb 13",13
"Jan 30 - Feb 13",9
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",7
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",6
"Jan 30 - Feb 13",9
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",9
"Jan 30 - Feb 13",4
"Jan 30 - Feb 13",8
"Jan 30 - Feb 13",-3
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",-1
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",-5
"Jan 30 - Feb 13",-1
"Jan 30 - Feb 13",4
"Jan 30 - Feb 13",4
"Jan 30 - Feb 13",4
"Jan 30 - Feb 13",8
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",9
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",5
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",-2
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",-3
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",15
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",7
"Jan 30 - Feb 13",-4
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",6
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",-2
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",4
"Jan 30 - Feb 13",1
"Jan 30 - Feb 13",-11
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",0
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",2
"Jan 30 - Feb 13",-5
"Jan 30 - Feb 13",-5
"Jan 30 - Feb 13",3
"Jan 30 - Feb 13",5
"Jan 30 - Feb 13",8
"Jan 30 - Feb 13",6
"Jan 30 - Feb 13",3
